;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
0;0;2;23;2;1;20;18;0;6;0;3;7;0;0;2;1;1;0;0;10;17;0;0;0;0;0;0;0;0;0;0;0
1;2;0;0;2;0;8;4;0;2;0;2;0;1;1;0;1;0;1;0;7;7;0;4;1;0;0;0;0;0;0;0;0
2;23;0;0;2;6;51;20;0;6;0;4;7;2;1;2;1;0;2;0;9;16;0;0;0;0;0;30;0;0;1;0;0
3;2;2;2;0;2;10;22;0;6;0;0;4;6;6;4;2;0;26;4;10;21;0;0;0;0;0;0;0;0;0;0;0
4;1;0;6;2;0;10;19;0;3;0;0;2;1;0;3;4;1;0;0;45;14;2;0;0;0;0;0;0;0;10;0;0
5;20;8;51;10;10;0;59;3;8;34;6;19;5;2;12;2;1;1;1;38;64;2;0;0;0;0;0;0;0;0;0;0
6;18;4;20;22;19;59;0;1;21;1;14;21;5;5;14;9;83;8;0;65;82;0;0;0;0;1;1;1;1;0;0;0
7;0;0;0;0;0;3;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
8;6;2;6;6;3;8;21;1;0;0;0;7;1;4;5;0;0;2;0;16;12;0;0;0;0;0;0;0;5;0;0;0
9;0;0;0;0;0;34;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0
10;3;2;4;0;0;6;14;0;0;0;0;2;1;0;0;1;0;0;0;7;5;0;0;0;0;0;0;0;0;0;0;0
11;7;0;7;4;2;19;21;0;7;0;2;0;1;1;4;1;1;5;0;16;20;0;0;7;0;1;0;0;0;0;0;0
12;0;1;2;6;1;5;5;0;1;0;1;1;0;0;1;0;0;1;0;3;5;0;0;0;0;0;0;0;0;1;0;7
13;0;1;1;6;0;2;5;0;4;0;0;1;0;0;1;0;0;0;0;9;6;1;0;0;0;0;0;0;0;0;0;0
14;2;0;2;4;3;12;14;0;5;0;0;4;1;1;0;1;1;0;0;17;15;0;0;0;13;0;0;0;0;0;0;0
15;1;1;1;2;4;2;9;0;0;0;1;1;0;0;1;0;0;1;0;4;4;0;0;0;0;6;0;0;0;0;0;0
16;1;0;0;0;1;1;83;0;0;0;0;1;0;0;1;0;0;0;0;2;4;0;0;1;0;0;0;0;0;0;0;0
17;0;1;2;26;0;1;8;0;2;0;0;5;1;0;0;1;0;0;0;4;6;0;1;0;0;0;0;0;0;0;2;0
18;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
19;10;7;9;10;45;38;65;1;16;0;7;16;3;9;17;4;2;4;0;0;77;69;1;0;0;0;0;0;0;0;0;0
20;17;7;16;21;14;64;82;1;12;2;5;20;5;6;15;4;4;6;1;77;0;3;1;1;1;1;1;1;0;0;0;0
21;0;0;0;0;2;2;0;0;0;1;0;0;0;1;0;0;0;0;0;69;3;0;0;0;0;0;0;0;0;1;0;0
22;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
23;0;1;0;0;0;0;0;0;0;0;0;7;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
25;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;6;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
26;0;0;30;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
27;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
28;0;0;0;0;0;0;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29;0;0;1;0;10;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
